Timestamp,robot_x,robot_y,photo_num
0.0,1e-05,1e-05,0
0.0333,1e-05,1e-05,1
0.0667,-7e-05,9e-05,2
0.1,-0.00052,0.00056,3
0.1333,-0.0012,0.00127,4
0.1667,-0.00267,0.00271,5
0.2,-0.00421,0.00422,6
0.2333,-0.00511,0.00511,7
0.2667,-0.00595,0.00594,8
0.3,-0.00834,0.00837,9
0.3333,-0.00806,0.00808,10
0.3667,-0.00681,0.00684,11
0.4,-0.00496,0.005,12
0.4333,-0.00264,0.00276,13
0.4667,-0.00028,0.00066,14
0.5,0.0014,-4e-05,15
0.5333,0.00229,0.00145,16
0.5667,0.00214,0.00396,17
0.6,0.0015,0.00824,18
0.6333,0.00056,0.01292,19
0.6667,-0.00051,0.0161,20
0.7,-0.00295,0.01789,21
0.7333,-0.00557,0.01582,22
0.7667,-0.00891,0.01126,23
0.8,-0.0127,0.00476,24
0.8333,-0.01786,-0.00528,25
0.8667,-0.02176,-0.01386,26
0.9,-0.0239,-0.01984,27
0.9333,-0.0237,-0.02239,28
0.9667,-0.02188,-0.02196,29
1.0,-0.01836,-0.01946,30
1.0333,-0.01366,-0.01558,31
1.0667,-0.00967,-0.01234,32
1.1,-0.00583,-0.00977,33
1.1333,-0.00276,-0.00872,34
1.1667,-0.00023,-0.00931,35
1.2,0.00107,-0.01082,36
1.2333,0.00213,-0.01304,37
1.2667,0.00296,-0.01531,38
1.3,0.00335,-0.01645,39
1.3333,0.00349,-0.01675,40
1.3667,0.0033,-0.01598,41
1.4,0.00286,-0.0144,42
1.4333,0.00222,-0.01242,43
1.4667,0.00149,-0.01038,44
1.5,0.00055,-0.00795,45
1.5333,-0.00072,-0.00479,46
1.5667,-0.00206,-0.00133,47
1.6,-0.00311,0.00152,48
1.6333,-0.00421,0.00457,49
1.6667,-0.0052,0.00733,50
1.7,-0.00584,0.00916,51
1.7333,-0.00602,0.00983,52
1.7667,-0.00587,0.00957,53
1.8,-0.00543,0.00853,54
1.8333,-0.00466,0.00692,55
1.8667,-0.00362,0.00551,56
1.9,-0.00187,0.0046,57
1.9333,0.00039,0.00535,58
1.9667,0.00318,0.00734,59
2.0,0.00571,0.00968,60
2.0333,0.00823,0.01227,61
2.0667,0.01118,0.0163,62
2.1,0.01165,0.01924,63
2.1333,0.00978,0.02209,64
2.1667,0.00549,0.02538,65
2.2,-0.00051,0.02888,66
2.2333,-0.00717,0.03221,67
2.2667,-0.01363,0.03499,68
2.3,-0.01764,0.03524,69
2.3333,-0.02012,0.03191,70
2.3667,-0.01991,0.02561,71
2.4,-0.01849,0.01972,72
2.4333,-0.01495,0.0096,73
2.4667,-0.01084,8e-05,74
2.5,-0.00653,-0.00625,75
2.5333,-0.00265,-0.00902,76
2.5667,0.00324,-0.00987,77
2.6,0.00697,-0.00902,78
2.6333,0.01111,-0.00716,79
2.6667,0.01634,-0.00435,80
2.7,0.01861,-0.00188,81
2.7333,0.01703,0.00017,82
2.7667,0.01274,0.00207,83
2.8,0.0065,0.00419,84
2.8333,-2e-05,0.00615,85
2.8667,-0.01037,0.00947,86
2.9,-0.01435,0.011,87
2.9333,-0.01662,0.01217,88
2.9667,-0.01729,0.01295,89
3.0,-0.01523,0.01267,90
3.0333,-0.01284,0.01216,91
3.0667,-0.01,0.01163,92
3.1,-0.0088,0.01118,93
3.1333,-0.01005,0.01111,94
3.1667,-0.01337,0.01115,95
3.2,-0.01812,0.01119,96
3.2333,-0.02446,0.01138,97
3.2667,-0.02965,0.01119,98
3.3,-0.03273,0.00962,99
3.3333,-0.03318,0.00669,100
3.3667,-0.03183,0.00293,101
3.4,-0.02929,-0.00098,102
3.4333,-0.02509,-0.00626,103
3.4667,-0.02155,-0.01019,104
3.5,-0.01939,-0.0117,105
3.5333,-0.01624,-0.01305,106
3.5667,-0.00833,-0.01299,107
3.6,-0.00406,-0.01137,108
3.6333,0.00018,-0.00926,109
3.6667,0.00534,-0.00596,110
3.7,0.00669,-0.00404,111
3.7333,0.00612,-0.00208,112
3.7667,0.00271,-0.00013,113
3.8,-0.00168,0.00125,114
3.8333,-0.00609,0.00233,115
3.8667,-0.01193,0.00372,116
3.9,-0.01637,0.00597,117
3.9333,-0.01686,0.00751,118
3.9667,-0.01582,0.00982,119
4.0,-0.0132,0.01234,120
4.0333,-0.00974,0.01491,121
4.0667,-0.00634,0.0173,122
4.1,-0.00528,0.01793,123
4.1333,-0.0077,0.01596,124
4.1667,-0.01253,0.01213,125
4.2,-0.01901,0.0069,126
