Timestamp,robot_x,robot_y,photo_num
0.0,0.0,1e-05,0
0.0333,1e-05,2e-05,1
0.0667,-0.0,2e-05,2
0.1,0.0,3e-05,3
0.1333,0.0,1e-05,4
0.1667,-0.0,4e-05,5
0.2,9e-05,4e-05,6
0.2333,0.00031,6e-05,7
0.2667,0.00053,8e-05,8
0.3,0.00085,0.00013,9
0.3333,0.00231,0.00043,10
0.3667,0.00314,0.00065,11
0.4,0.00392,0.00142,12
0.4333,0.00449,0.0032,13
0.4667,0.0049,0.00583,14
0.5,0.00533,0.00968,15
0.5333,0.00562,0.01339,16
0.5667,0.00593,0.0178,17
0.6,0.00616,0.02135,18
0.6333,0.00617,0.02231,19
0.6667,0.006,0.0209,20
0.7,0.00576,0.01782,21
0.7333,0.00535,0.01219,22
0.7667,0.00499,0.00675,23
0.8,0.00468,0.00183,24
0.8333,0.00435,-0.00138,25
0.8667,0.00405,-0.00208,26
0.9,0.00387,-0.00121,27
0.9333,0.00354,0.0015,28
0.9667,0.00323,0.00499,29
1.0,0.0028,0.00725,30
1.0333,0.00154,0.00751,31
1.0667,0.00017,0.00635,32
1.1,-0.0016,0.00371,33
1.1333,-0.00416,-0.00074,34
1.1667,-0.00695,-0.00612,35
1.2,-0.00899,-0.01006,36
1.2333,-0.01039,-0.01252,37
1.2667,-0.01108,-0.01337,38
1.3,-0.01115,-0.01276,39
1.3333,-0.01085,-0.01131,40
1.3667,-0.01027,-0.00914,41
1.4,-0.0102,-0.00754,42
1.4333,-0.01162,-0.00828,43
1.4667,-0.01425,-0.01089,44
1.5,-0.01807,-0.0154,45
1.5333,-0.02255,-0.0211,46
1.5667,-0.02716,-0.02726,47
1.6,-0.03115,-0.0327,48
1.6333,-0.03342,-0.03559,49
1.6667,-0.03341,-0.03508,50
1.7,-0.03183,-0.03216,51
1.7333,-0.02891,-0.02719,52
1.7667,-0.02589,-0.02222,53
1.8,-0.0224,-0.01602,54
1.8333,-0.01982,-0.01041,55
1.8667,-0.01878,-0.00729,56
1.9,-0.01725,0.00199,57
1.9333,-0.01698,0.00773,58
1.9667,-0.017,0.01177,59
2.0,-0.01646,0.0156,60
2.0333,-0.0141,0.01661,61
2.0667,-0.01113,0.01468,62
2.1,-0.00588,0.00899,63
2.1333,-0.00084,0.00318,64
2.1667,0.00592,-0.00494,65
2.2,0.01128,-0.01139,66
2.2333,0.01392,-0.01475,67
2.2667,0.01444,-0.01577,68
2.3,0.01287,-0.01459,69
2.3333,0.01015,-0.01216,70
2.3667,0.00726,-0.00944,71
2.4,0.00429,-0.00673,72
2.4333,0.00063,-0.00454,73
2.4667,-0.00037,-0.00697,74
2.5,0.00017,-0.01073,75
2.5333,0.00113,-0.01456,76
2.5667,0.00346,-0.02227,77
2.6,0.00553,-0.02858,78
2.6333,0.00617,-0.03031,79
2.6667,0.00625,-0.02998,80
2.7,0.00592,-0.02833,81
2.7333,0.00523,-0.02514,82
2.7667,0.00407,-0.01986,83
2.8,0.00185,-0.01563,84
2.8333,-0.00028,-0.01502,85
2.8667,-0.00592,-0.01651,86
2.9,-0.01319,-0.02039,87
2.9333,-0.0194,-0.0246,88
2.9667,-0.0261,-0.02956,89
3.0,-0.03086,-0.03357,90
3.0333,-0.03391,-0.03676,91
3.0667,-0.03173,-0.03756,92
3.1,-0.02452,-0.03517,93
3.1333,-0.01781,-0.03263,94
3.1667,-0.00799,-0.02878,95
3.2,0.00387,-0.02341,96
3.2333,0.00974,-0.01931,97
3.2667,0.01244,-0.01574,98
3.3,0.01369,-0.00984,99
3.3333,0.0132,-0.00696,100
3.3667,0.01194,-0.00301,101
3.4,0.01055,0.00174,102
3.4333,0.01142,0.00449,103
3.4667,0.01445,0.00571,104
3.5,0.01757,0.00603,105
3.5333,0.02406,0.00598,106
3.5667,0.02989,0.00557,107
3.6,0.03157,0.00546,108
3.6333,0.03319,0.00551,109
3.6667,0.03358,0.0072,110
3.7,0.03037,0.00873,111
3.7333,0.02539,0.01082,112
3.7667,0.02143,0.01245,113
3.8,0.01517,0.01542,114
3.8333,0.01217,0.01847,115
3.8667,0.01139,0.02167,116
3.9,0.01259,0.02613,117
3.9333,0.01475,0.02981,118
3.9667,0.01669,0.03242,119
4.0,0.02003,0.03641,120
4.0333,0.02094,0.03674,121
4.0667,0.02043,0.03516,122
4.1,0.01844,0.03134,123
4.1333,0.0157,0.02634,124
4.1667,0.01308,0.02163,125
4.2,0.00932,0.01487,126
4.2333,0.00695,0.01156,127
4.2667,0.00574,0.01075,128
4.3,0.00416,0.01137,129
4.3333,0.00322,0.01324,130
4.3667,0.00241,0.0161,131
4.4,0.00192,0.01827,132
4.4333,0.00177,0.01923,133
4.4667,0.00191,0.01908,134
4.5,0.00242,0.01774,135
4.5333,0.00325,0.01554,136
4.5667,0.00419,0.01307,137
4.6,0.00548,0.01092,138
4.6333,0.00702,0.01022,139
4.6667,0.00978,0.01099,140
4.7,0.01161,0.0121,141
4.7333,0.01409,0.0141,142
4.7667,0.01773,0.01722,143
4.8,0.02008,0.01893,144
4.8333,0.02263,0.01957,145
4.8667,0.0252,0.01907,146
4.9,0.0269,0.01762,147
4.9333,0.02842,0.01559,148
4.9667,0.02967,0.01346,149
5.0,0.03059,0.01036,150
5.0333,0.03002,0.00887,151
5.0667,0.02758,0.00753,152
5.1,0.02395,0.00654,153
5.1333,0.0195,0.00586,154
5.1667,0.01489,0.00547,155
5.2,0.01115,0.00572,156
5.2333,0.0072,0.00746,157
5.2667,0.00336,0.01101,158
5.3,0.00035,0.01554,159
5.3333,-0.00179,0.01984,160
5.3667,-0.00497,0.02816,161
5.4,-0.00658,0.03199,162
5.4333,-0.00886,0.03392,163
5.4667,-0.01228,0.03115,164
5.5,-0.01456,0.02585,165
5.5333,-0.01594,0.0216,166
5.5667,-0.01938,0.00775,167
5.6,-0.02016,0.00257,168
5.6333,-0.0202,-0.00231,169
5.6667,-0.01931,-0.00444,170
5.7,-0.0167,-0.00438,171
5.7333,-0.01528,-0.00345,172
5.7667,-0.01272,-0.00133,173
5.8,-0.01015,0.00122,174
5.8333,-0.00815,0.0038,175
5.8667,-0.0069,0.00627,176
5.9,-0.00677,0.00866,177
5.9333,-0.00727,0.01046,178
5.9667,-0.00796,0.01201,179
6.0,-0.00883,0.0137,180
6.0333,-0.00949,0.01513,181
6.0667,-0.00951,0.01542,182
6.1,-0.0092,0.01522,183
6.1333,-0.00844,0.01453,184
6.1667,-0.00778,0.01381,185
6.2,-0.00731,0.01305,186
6.2333,-0.00755,0.01242,187
6.2667,-0.00824,0.01193,188
6.3,-0.01012,0.01129,189
6.3333,-0.01165,0.0109,190
6.3667,-0.01415,0.01035,191
6.4,-0.01572,0.00968,192
6.4333,-0.01601,0.00866,193
6.4667,-0.01515,0.00706,194
6.5,-0.01357,0.00561,195
6.5333,-0.01074,0.00357,196
6.5667,-0.00771,0.00157,197
6.6,-0.00494,0.00016,198
6.6333,-0.0034,-4e-05,199
6.6667,-0.00124,0.00023,200
6.7,0.00213,0.00163,201
6.7333,0.00333,0.00254,202
6.7667,0.00564,0.00464,203
6.8,0.00877,0.00746,204
6.8333,0.0103,0.00832,205
6.8667,0.0107,0.00821,206
6.9,0.0111,0.0081,207
6.9333,0.01171,0.00524,208
6.9667,0.01187,0.00296,209
7.0,0.01163,0.00122,210
7.0333,0.01074,0.00089,211
7.0667,0.00948,0.00239,212
7.1,0.00784,0.00504,213
7.1333,0.00613,0.00813,214
7.1667,0.00404,0.01203,215
7.2,0.00157,0.01569,216
7.2333,-0.00062,0.01617,217
7.2667,-0.00309,0.01415,218
7.3,-0.00515,0.00987,219
7.3333,-0.00711,0.00453,220
7.3667,-0.00892,-0.0019,221
7.4,-0.01013,-0.00725,222
7.4333,-0.00997,-0.01059,223
7.4667,-0.00847,-0.01211,224
7.5,-0.00662,-0.01173,225
7.5333,-0.00344,-0.00985,226
7.5667,9e-05,-0.00752,227
